# Group models by family, rank and tactical branch; S/M/L/X share a model category.
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK07_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK08_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK09_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK10_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK11_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK12_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK13_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK01_SET" icon = "GFX_ship_part_turbo_laser_g_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK02_SET" icon = "GFX_ship_part_turbo_laser_g_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK03_SET" icon = "GFX_ship_part_turbo_laser_g_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK04_SET" icon = "GFX_ship_part_turbo_laser_g_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK05_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK06_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK07_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK08_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK09_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK10_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK11_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK12_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK13_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK14_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK15_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK16_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK17_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK18_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_HEAVY_MK19_SET" icon = "GFX_ship_part_turbo_laser_g_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK01_SET" icon = "GFX_ship_part_ion_cannon_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK02_SET" icon = "GFX_ship_part_ion_cannon_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK03_SET" icon = "GFX_ship_part_ion_cannon_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK04_SET" icon = "GFX_ship_part_ion_cannon_4" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK05_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK06_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK07_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK08_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK09_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK10_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK11_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK12_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_ION_MK13_SET" icon = "GFX_ship_part_ion_cannon_5" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK01_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK02_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK03_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK04_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK05_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK06_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK07_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK08_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK09_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK10_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK11_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK12_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK13_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK14_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK15_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK16_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONBLAST_MK17_SET" icon = "GFX_ship_part_sw_ion_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK01_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK02_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK03_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK04_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK05_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK06_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK07_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK08_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK09_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK10_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK11_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK12_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_IONPULSE_MK13_SET" icon = "GFX_ship_part_ion_pulse_missile_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK01_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK02_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK03_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK04_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK05_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK06_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK07_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK08_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK09_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK10_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK11_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK12_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK13_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK14_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK15_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK16_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_LEECH_MK17_SET" icon = "GFX_ship_part_sw_shield_leech" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK01_SET" icon = "GFX_ship_part_ven_mass_driver_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK02_SET" icon = "GFX_ship_part_ven_mass_driver_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK03_SET" icon = "GFX_ship_part_ven_mass_driver_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK04_SET" icon = "GFX_ship_part_ven_mass_driver_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK05_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK06_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK07_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK08_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK09_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK10_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK11_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK12_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_MASS_MK13_SET" icon = "GFX_ship_part_ven_mass_driver_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK01_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK02_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK03_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK04_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK05_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK06_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK07_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK08_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK09_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK10_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK11_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK12_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK13_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK14_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK15_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK16_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK17_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK18_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK19_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK20_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK21_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK22_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK23_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK24_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK25_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK26_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK27_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK28_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK29_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_OCTUPLE_MK30_SET" icon = "GFX_ship_part_octuple_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK01_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK02_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK03_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK04_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK05_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK06_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK07_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK08_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK09_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK10_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK11_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK12_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK13_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK14_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PLASMA_MK15_SET" icon = "GFX_ship_part_sw_plasma_blast" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK01_SET" icon = "GFX_ship_part_proton_torp_G_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK02_SET" icon = "GFX_ship_part_proton_torp_G_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK03_SET" icon = "GFX_ship_part_proton_torp_G_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK04_SET" icon = "GFX_ship_part_proton_torp_G_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK05_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK06_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK07_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK08_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK09_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK10_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK11_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK12_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTON_MK13_SET" icon = "GFX_ship_part_proton_torp_G_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK01_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK02_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK03_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK04_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK05_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK06_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK07_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK08_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK09_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK10_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK11_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK12_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK13_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK14_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK15_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK16_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK17_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_PROTONBEAM_MK18_SET" icon = "GFX_ship_part_sw_proton_beam" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK01_SET" icon = "GFX_ship_part_quad_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK02_SET" icon = "GFX_ship_part_quad_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK03_SET" icon = "GFX_ship_part_quad_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK04_SET" icon = "GFX_ship_part_quad_turbo_g_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK05_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK06_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK07_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK08_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK09_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK10_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_QUAD_MK11_SET" icon = "GFX_ship_part_quad_turbo_g_3" icon_frame = 1 }
